trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
222,False,"{'a': 0.10970064851551141, 'e': 0.10970064851551141}",20,14,5.220133475481283,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.10860910882495796, 'e': 0.10860910882495796}",25,14,20.69025882643318,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.10752843013579495, 'e': 0.10752843013579495}",20,10,-26.081334831556983,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
225,False,"{'a': 0.1064585043792528, 'e': 0.1064585043792528}",20,9,19.872102804115507,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.10539922456186433, 'e': 0.10539922456186433}",20,16,7.963106377945218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.104350484754765, 'e': 0.104350484754765}",30,13,8.93848811415784,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.1033121800831002, 'e': 0.1033121800831002}",25,8,16.658912692622433,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
229,False,"{'a': 0.10228420671553744, 'e': 0.10228420671553744}",20,8,18.966463149871604,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.1012664618538834, 'e': 0.1012664618538834}",25,11,23.87380799547829,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.1002588437228037, 'e': 0.1002588437228037}",20,12,14.438535299375008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.09926125155964566, 'e': 0.09926125155964566}",25,13,10.15844010779934,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.09827358560436154, 'e': 0.09827358560436154}",25,18,16.824082536805157,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.09729574708953276, 'e': 0.09729574708953276}",25,19,10.162566093986769,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.09632763823049303, 'e': 0.09632763823049303}",25,8,26.95010650575033,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.09536916221554961, 'e': 0.09536916221554961}",20,15,9.163084038848984,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.09442022319630235, 'e': 0.09442022319630235}",30,21,9.912538151364355,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
